,0
A1,0.07497211185448245
A2,1.1438050997413205
A3,0.6842976347397466
A4,0.8412238037924019
A5,0.7673770130066021
A6,0.8249228646815211
A7,0.9538906783983296
A8,0.10455543856012511
A9,-1.8407125277245673
A10,-1.802342796772227
A11,-5588956776062.632
A12,0.47027149459464307
A13,-1.202145603140421
A14,0.6490099494871784
A15,2.0789015286635992
A16,0.814400675851348
A17,-2.332524347218427
A18,1.444215216904037
A19,-1.299394682597938
A20,-0.6579113254028324
A21,1.1412110675608902
A22,-2.1141688123112767
A23,-5622092883429.942
A24,5710455836414.671
A25,2.1853129853267883
A26,0.5466311737735698
A27,-1.9386023938354497
A28,-0.5245414319285063
A29,-2.1837316930356683
A30,-0.1599765438688701
A31,1.2450745899793687
A32,5500593823086.579
A33,-4.1173663551091595
A34,0.438318359375
A35,1.064865942148454
A36,0.6764420191591437
A37,-0.9399661827187195
A38,0.7717378125567157
A39,0.018800234461276672
A40,1.0965811370688334
A41,0.242540771484375
A42,-1.6996499494813706
A43,-0.30874169921875
A44,-0.23207470703125
A45,0.8155703125
A46,-0.2438955078125
A47,-0.35386168064380397
A48,-0.04783203125
A49,-0.201419921875
A50,0.291564453125
A51,1.6336988136482746
A52,0.0807000732421875
A53,1.1039876156595412
A54,1.0508162865307342
A55,0.1224072265625
A56,0.254475830078125
A57,0.2040859375
A58,-0.6815745519425384
A59,1.7213194148019855
A60,-0.184833984375
A61,0.9528164453445669
A62,-0.2852365137581517
A63,0.2763828125
A64,-0.47043868355989604
